date,kWh
2022-01-14,29
2022-01-15,59
2022-01-16,41
2022-01-17,30
2022-01-18,31
2022-01-19,30
2022-01-20,31
2022-01-21,31
2022-01-22,33
2022-01-23,32
2022-01-24,-
2022-01-25,-
2022-01-26,-
2022-01-27,31
2022-01-28,30
2022-01-29,51
2022-01-30,39
2022-01-31,31
2022-02-01,33
2022-02-02,32
2022-02-03,33
2022-02-04,32
2022-02-05,31
2022-02-06,32
2022-02-07,31
2022-02-08,32
2022-02-09,31
2022-02-10,32
2022-02-11,31
2022-02-12,32
2022-02-13,31
2022-02-14,30
2022-02-15,28
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-19,50
2022-02-20,37
2022-02-21,27
2022-02-22,28
2022-02-23,28
2022-02-24,27
2022-02-25,27
2022-02-26,27
2022-02-27,27
2022-02-28,27
2022-03-01,27
2022-03-02,27
2022-03-03,27
2022-03-04,17
2022-03-05,27
2022-03-06,28
2022-03-07,27
2022-03-08,25
2022-03-09,27
2022-03-10,26
2022-03-11,27
2022-03-12,27
2022-03-13,28
2022-03-14,27
2022-03-15,26
2022-03-16,27
2022-03-17,27
2022-03-18,24
2022-03-19,55
2022-03-20,35
2022-03-21,11
2022-03-22,21
2022-03-23,17
2022-03-24,17
2022-03-25,14
2022-03-26,17
2022-03-27,23
2022-03-28,15
2022-03-29,23
2022-03-30,29
2022-03-31,28
2022-04-01,29
2022-04-02,26
2022-04-03,24
2022-04-04,26
2022-04-05,26
2022-04-06,27
2022-04-07,28
2022-04-08,26
2022-04-09,27
2022-04-10,23
2022-04-11,17
2022-04-12,18
2022-04-13,18
2022-04-14,20
2022-04-15,47
2022-04-16,36
2022-04-17,31
2022-04-18,25
2022-04-19,11
2022-04-20,12
2022-04-21,12
2022-04-22,12
2022-04-23,14
2022-04-24,16
2022-04-25,18
2022-04-26,16
2022-04-27,19
2022-04-28,20
2022-04-29,19
2022-04-30,18
2022-05-01,16
2022-05-02,14
2022-05-03,14
2022-05-04,17
2022-05-05,13
2022-05-06,10
2022-05-07,11
2022-05-08,11
2022-05-09,14
2022-05-10,10
2022-05-11,11
2022-05-12,10
2022-05-13,11
2022-05-14,24
2022-05-15,14
2022-05-16,0
2022-05-17,3
2022-05-18,2
2022-05-19,1
2022-05-20,0
2022-05-21,1
2022-05-22,2
2022-05-23,1
2022-05-24,1
2022-05-25,0
2022-05-26,0
2022-05-27,17
2022-05-28,15
2022-05-29,17
2022-05-30,3
2022-05-31,5
2022-06-01,4
2022-06-02,4
2022-06-03,5
2022-06-04,2
2022-06-05,2
2022-06-06,1
2022-06-07,1
2022-06-08,1
2022-06-09,1
2022-06-10,0
2022-06-11,1
2022-06-12,0
2022-06-13,1
2022-06-14,1
2022-06-15,1
2022-06-16,1
2022-06-17,0
2022-06-18,1
2022-06-19,0
2022-06-20,1
2022-06-21,1
2022-06-22,0
2022-06-23,4
2022-06-24,9
2022-06-25,8
2022-06-26,5
2022-06-27,1
2022-06-28,0
2022-06-29,1
2022-06-30,0
2022-07-01,0
2022-07-02,1
2022-07-03,0
2022-07-04,0
2022-07-05,1
2022-07-06,0
2022-07-07,1
2022-07-08,0
2022-07-09,1
2022-07-10,1
2022-07-11,5
2022-07-12,7
2022-07-13,10
2022-07-14,8
2022-07-15,17
2022-07-16,11
2022-07-17,10
2022-07-18,13
2022-07-19,13
2022-07-20,11
2022-07-21,14
2022-07-22,19
2022-07-23,10
2022-07-24,13
2022-07-25,10
2022-07-26,4
2022-07-27,4
2022-07-28,5
2022-07-29,7
2022-07-30,12
2022-07-31,10
2022-08-01,10
2022-08-02,11
2022-08-03,11
2022-08-04,12
2022-08-05,10
2022-08-06,5
2022-08-07,1
2022-08-08,1
2022-08-09,2
2022-08-10,0
2022-08-11,1
2022-08-12,0
2022-08-13,0
2022-08-14,0
2022-08-15,1
2022-08-16,0
2022-08-17,0
2022-08-18,0
2022-08-19,1
2022-08-20,0
2022-08-21,0
2022-08-22,1
2022-08-23,0
2022-08-24,2
2022-08-25,1
2022-08-26,0
2022-08-27,1
2022-08-28,4
2022-08-29,5
2022-08-30,5
2022-08-31,6
2022-09-01,7
2022-09-02,7
2022-09-03,7
2022-09-04,8
2022-09-05,8
2022-09-06,7
2022-09-07,8
2022-09-08,7
2022-09-09,7
2022-09-10,8
2022-09-11,7
2022-09-12,6
2022-09-13,7
2022-09-14,7
2022-09-15,7
2022-09-16,8
2022-09-17,7
2022-09-18,8
2022-09-19,7
2022-09-20,8
2022-09-21,13
2022-09-22,13
2022-09-23,10
2022-09-24,7
2022-09-25,8
2022-09-26,8
2022-09-27,8
2022-09-28,7
2022-09-29,9
2022-09-30,12
2022-10-01,11
2022-10-02,10
2022-10-03,11
2022-10-04,12
2022-10-05,7
2022-10-06,7
2022-10-07,8
2022-10-08,7
2022-10-09,16
2022-10-10,11
2022-10-11,11
2022-10-12,22
2022-10-13,15
2022-10-14,14
2022-10-15,9
2022-10-16,8
2022-10-17,11
2022-10-18,14
2022-10-19,23
2022-10-20,27
2022-10-21,22
2022-10-22,21
2022-10-23,24
2022-10-24,17
2022-10-25,10
2022-10-26,12
2022-10-27,11
2022-10-28,28
2022-10-29,31
2022-10-30,19
2022-10-31,15
2022-11-01,13
2022-11-02,10
2022-11-03,10
2022-11-04,16
2022-11-05,13
2022-11-06,13
2022-11-07,12
2022-11-08,13
2022-11-09,12
2022-11-10,13
2022-11-11,9
2022-11-12,8
2022-11-13,20
2022-11-14,20
2022-11-15,20
2022-11-16,21
2022-11-17,24
2022-11-18,30
2022-11-19,31
2022-11-20,32
2022-11-21,33
2022-11-22,25
2022-11-23,29
2022-11-24,27
2022-11-25,28
2022-11-26,26
2022-11-27,27
2022-11-28,25
2022-11-29,24
2022-11-30,25
2022-12-01,29
2022-12-02,29
2022-12-03,29
2022-12-04,33
2022-12-05,33
2022-12-06,34
2022-12-07,35
2022-12-08,37
2022-12-09,36
2022-12-10,35
2022-12-11,35
2022-12-12,35
2022-12-13,36
2022-12-14,37
2022-12-15,39
2022-12-16,39
2022-12-17,39
2022-12-18,35
2022-12-19,33
2022-12-20,32
2022-12-21,26
2022-12-22,23
2022-12-23,32
2022-12-24,36
2022-12-25,35
2022-12-26,34
2022-12-27,33
2022-12-28,34
