date,avgTemp
2021-12-31,0.0
2022-01-01,-2.6
2022-01-02,1.2
2022-01-03,3.1
2022-01-04,0.5
2022-01-05,-2.9
2022-01-06,-7.2
2022-01-07,-9.2
2022-01-08,-2.2
2022-01-09,-1.9
2022-01-10,-2.8
2022-01-11,-2.5
2022-01-12,2.1
2022-01-13,6.2
2022-01-14,3.4
2022-01-15,-0.6
2022-01-16,2.6
2022-01-17,0.5
2022-01-18,0.1
2022-01-19,3.4
2022-01-20,-2.3
2022-01-21,-3.3
2022-01-22,-5.6
2022-01-23,-1.8
2022-01-24,2.6
2022-01-25,-2.2
2022-01-26,0.4
2022-01-27,0.6
2022-01-28,-0.3
2022-01-29,2.1
2022-01-30,0.0
2022-01-31,-4.6
2022-02-01,-7.2
2022-02-02,-6.4
2022-02-03,-4.8
2022-02-04,1.7
2022-02-05,0.3
2022-02-06,1.2
2022-02-07,-1.5
2022-02-08,1.5
2022-02-09,2.6
2022-02-10,1.7
2022-02-11,-1.8
2022-02-12,1.3
2022-02-13,2.4
2022-02-14,0.9
2022-02-15,2.1
2022-02-16,1.0
2022-02-17,-0.4
2022-02-18,-0.8
2022-02-19,-1.0
2022-02-20,-2.7
2022-02-21,-1.1
2022-02-22,-6.5
2022-02-23,-3.3
2022-02-24,3.2
2022-02-25,1.1
2022-02-26,-0.2
2022-02-27,2.8
2022-02-28,0.3
2022-03-01,1.0
2022-03-02,2.1
2022-03-03,0.5
2022-03-04,-2.5
2022-03-05,-0.9
2022-03-06,1.9
2022-03-07,2.7
2022-03-08,0.3
2022-03-09,0.6
2022-03-10,0.9
2022-03-11,0.5
2022-03-12,-0.1
2022-03-13,0.4
2022-03-14,1.6
2022-03-15,-0.2
2022-03-16,-1.6
2022-03-17,0.7
2022-03-18,3.2
2022-03-19,2.9
2022-03-20,4.1
2022-03-21,2.9
2022-03-22,3.1
2022-03-23,5.6
2022-03-24,6.6
2022-03-25,7.0
2022-03-26,3.7
2022-03-27,3.6
2022-03-28,5.8
2022-03-29,-3.1
2022-03-30,-2.8
2022-03-31,-2.4
2022-04-01,-1.8
2022-04-02,-0.6
2022-04-03,2.4
2022-04-04,0.4
2022-04-05,-1.8
2022-04-06,0.0
2022-04-07,0.2
2022-04-08,-0.8
2022-04-09,-1.3
2022-04-10,3.2
2022-04-11,3.1
2022-04-12,2.3
2022-04-13,2.3
2022-04-14,3.1
2022-04-15,3.6
2022-04-16,6.0
2022-04-17,9.2
2022-04-18,10.3
2022-04-19,9.0
2022-04-20,8.8
2022-04-21,8.8
2022-04-22,7.6
2022-04-23,6.3
2022-04-24,4.5
2022-04-25,7.3
2022-04-26,5.2
2022-04-27,2.9
2022-04-28,4.8
2022-04-29,5.1
2022-04-30,5.9
2022-05-01,8.5
2022-05-02,9.7
2022-05-03,5.9
2022-05-04,7.4
2022-05-05,11.1
2022-05-06,12.6
2022-05-07,9.7
2022-05-08,6.8
2022-05-09,10.7
2022-05-10,12.8
2022-05-11,11.1
2022-05-12,11.8
2022-05-13,11.9
2022-05-14,11.5
2022-05-15,10.8
2022-05-16,8.9
2022-05-17,8.2
2022-05-18,13.7
2022-05-19,15.5
2022-05-20,10.2
2022-05-21,9.6
2022-05-22,11.0
2022-05-23,12.6
2022-05-24,13.8
2022-05-25,13.6
2022-05-26,11.0
2022-05-27,10.3
2022-05-28,10.1
2022-05-29,9.9
